N,Best,Worst,Mean,SuccessRate
4,209,314,232.80,100.00%
5,207,556,344.20,100.00%
6,217,111080,66904.40,40.00%
7,1420,111186,68208.60,60.00%
8,665,111084,49207.60,60.00%
9,2653,111160,47803.40,60.00%
10,102980,111314,109424.00,20.00%
11,6627,111200,73209.00,40.00%
12,2221,111374,89365.40,20.00%
13,3198,111128,75928.20,40.00%
14,24239,111322,76932.60,40.00%
15,2780,111122,45137.40,80.00%
