N,Best,Worst,Mean,SuccessRate
4,205,326,232.73,100.00%
5,205,645,291.20,100.00%
6,211,87942,9855.27,43.33%
7,211,109107,6019.13,76.67%
8,546,107601,15981.53,73.33%
9,429,106786,18513.20,76.67%
10,992,85216,12245.63,50.00%
